Demographic,var_yr,All,Black,Hispanic,White,Asian,var_est,var_sample,note
Top Three USA Universities Conferral (IPEDS),2021,3487.0000 ,231.0000 ,561.0000 ,1541.0000 ,1154.0000 ,No,0,
MIT Enrollment (MIT website),2021,4156.0000 ,336.0000 ,702.0000 ,1582.0000 ,1536.0000 ,No,0,
Carnegie Mellon Enrollment (College Website),2021,4814.0000 ,255.0000 ,611.0000 ,1661.0000 ,2287.0000 ,No,0,
8th grade proficient in Math (NAEP),2021,5064.0000 ,1219.0000 ,2625.0000 ,872.0000 ,348.0000 ,YES,1,
CPS SAT Benchmark (ISBE),2021,5081.0000 ,888.0000 ,2170.0000 ,1449.0000 ,574.0000 ,No,0,
CPS SAT Meets and Exceeds in Math (ISBE report card),2021,5081.0000 ,888.0000 ,2170.0000 ,1449.0000 ,574.0000 ,No,0,
4th grade proficient in Math (NAEP),2021,5481.0000 ,1324.0000 ,2598.0000 ,1125.0000 ,434.0000 ,YES,1,
19-24 year olds in tech workforce (EMSI),2021,5518.0000 ,385.0000 ,412.0000 ,3228.0000 ,1493.0000 ,Yes,0,
AP CS Pass (P33 Excel),2021,5720.0000 ,179.0000 ,908.0000 ,2868.0000 ,1765.0000 ,No,0,
Stanford Enrollment (Stanford Website),2021,5963.0000 ,535.0000 ,1376.0000 ,1911.0000 ,2141.0000 ,No,0,
4th grade Below Basic in Math (NAEP),2021,6169.0000 ,3227.0000 ,2702.0000 ,175.0000 ,65.0000 ,No,1,
AP CS enrollment (P33 Excel),2021,7667.0000 ,369.0000 ,1463.0000 ,3674.0000 ,2161.0000 ,No,1,
3 year CS/Computing conferral (EMSI),2021,8490.0000 ,539.0000 ,1227.0000 ,4478.0000 ,2246.0000 ,Yes,0,
8th grade basic in math (NAEP),2021,9007.0000 ,3563.0000 ,4500.0000 ,770.0000 ,174.0000 ,No,1,
4th grade Basic in Math (NAEP),2021,9172.0000 ,3558.0000 ,4676.0000 ,700.0000 ,238.0000 ,No,1,
8th grade below basic in Math (NAEP),2021,9514.0000 ,4407.0000 ,4625.0000 ,359.0000 ,123.0000 ,No,1,
Top Three Illinois Universities 2021 Conferral (ISBE),2021,9763.0000 ,677.0000 ,1444.0000 ,5293.0000 ,2349.0000 ,No,0,
CS/Computing enrollment (IBHE),2021,11759.0000 ,1066.0000 ,2134.0000 ,5264.0000 ,3295.0000 ,No,0,
Top Three USA Universities Enrollment (IPEDS),2021,14933.0000 ,1126.0000 ,2689.0000 ,5154.0000 ,5964.0000 ,Yes,0,
CPS STEM Magnet HS Enrollment (CPS School directory),2021,15513.0000 ,3282.0000 ,10070.0000 ,1318.0000 ,843.0000 ,No,0,
K-8 STEM Magnet School Enrollment (CPS School Directory),2021,20717.0000 ,10133.0000 ,7539.0000 ,1325.0000 ,1354.0000 ,No,0,
Top 3 Highest Paying CS Jobs Chicago MSA (EMSI),2021,21858.0000 ,1457.0000 ,1659.0000 ,14664.0000 ,4078.0000 ,No,0,"computer and information systems managers, computer network architects, and computer hardware engineers"
USA AP CS scored 3 or 4  (P33 Excel),2021,25637.0000 ,559.0000 ,2447.0000 ,11498.0000 ,11133.0000 ,NO,0,
Top Three Illinois Universities 2022 Enrollment (ISBE),2021,40403.0000 ,3059.0000 ,7078.0000 ,19643.0000 ,10623.0000 ,No,0,
USA AP CS scored 5  (P33 Excel),2021,88387.0000 ,4491.0000 ,14050.0000 ,43220.0000 ,26626.0000 ,No,0,
USA CS/Computing Conferral (EMSI),2021,107967.0000 ,8779.0000 ,12080.0000 ,53788.0000 ,19466.0000 ,Yes,0,
USA AP CS Pass (P33 Excel),2021,114024.0000 ,5050.0000 ,16497.0000 ,54718.0000 ,37759.0000 ,No,0,
Employee Demographics (EMSI) Number of employees in the 11 most common tech jobs for the Chicago MSA by race/ethnicity,2021,123681.0000 ,8621.0000 ,9226.0000 ,72374.0000 ,33460.0000 ,No,0,
Illinois HS Graduates (ISBE),2021,133178.0000 ,20880.0000 ,34946.0000 ,69614.0000 ,7738.0000 ,No,0,
USA 19-24 Employee Demographics (EMSI),2021,176364.0000 ,12939.0000 ,12629.0000 ,106699.0000 ,44097.0000 ,Yes,0,
USA AP CS Enroll (P33 Excel),2021,179188.0000 ,10163.0000 ,28208.0000 ,76508.0000 ,46600.0000 ,No,0,
USA SAT Exceeds (College Board),2021,234000.0000 ,8423.0000 ,24703.0000 ,101678.0000 ,78588.0000 ,Yes,0,
USA 3 year CS degree Conferral (EMSI),2021,307073.0000 ,37558.0000 ,41827.0000 ,180234.0000 ,47454.0000 ,Yes,0,
USA 4th grade math advanced (NAEP),2021,319000.0000 ,12000.0000 ,33000.0000 ,216000.0000 ,58000.0000 ,No,1,
USA 8th grade math advanced (NAEP),2021,344200.0000 ,11200.0000 ,33000.0000 ,234000.0000 ,66000.0000 ,No,1,
USA SAT Math bench mark and above (College Board),2021,658332.0000 ,38744.0000 ,105868.0000 ,374937.0000 ,138783.0000 ,Yes,0,
Top 3 highest Paying CS Jobs USA (EMSI),2021,678685.0000 ,48317.0000 ,50868.0000 ,451767.0000 ,127733.0000 ,No,0,"computer and information systems managers, computer network architects, and computer hardware engineers"
USA Universities CS Enrollment (EMSI Estimate),2021,700000.0000 ,57000.0000 ,78000.0000 ,350000.0000 ,215000.0000 ,Yes,0,
USA 8th grade math proficient and above (NAEP),2021,1183800.0000 ,72800.0000 ,209000.0000 ,774000.0000 ,128000.0000 ,No,1,
USA 4th grade math Proficient and above (NAEP),2021,1504000.0000 ,120000.0000 ,308000.0000 ,936000.0000 ,140000.0000 ,No,1,
USA Degree Conferral (NCES),2021,2039431.0000 ,197444.0000 ,302615.0000 ,1183959.0000 ,157062.0000 ,No,0,
aged 5-17 Number of students without internet access (NCES),2019,2288743.0000 ,517275.0000 ,905832.0000 ,830272.0000 ,35364.0000 ,NO,0,
USA Employment Demographics for 11 top tech jobs (EMSI),2021,5049583.0000 ,401798.0000 ,401158.0000 ,3117300.0000 ,1129327.0000 ,No,0,
USA Universities Enrollment (IPEDS),2021,13934822.0000 ,1901153.0000 ,3220694.0000 ,7751815.0000 ,1061160.0000 ,No,0,
HS CPS students interested in Computer Science (FOIA),2021,9792.0000 ,2054.0000 ,4752.0000 ,1905.0000 ,1081.0000 ,No,0,
Dual Credit Completion in CS (FOIA),2021,297.0000 ,157.0000 ,116.0000 ,19.0000 ,5.0000 ,No,0,
8th grade CPS failing Algebra (OCR),2017,88.0000 ,55.0000 ,29.0000 ,4.0000 ,0.0000 ,No,0,
CPS Enrolled in Advanced Math (OCR),2017,31802.0000 ,10952.0000 ,15275.0000 ,3728.0000 ,1847.0000 ,No,0,
